username,languageName,problemsSolved
netvope,Rust,1
netvope,PHP,1
netvope,TypeScript,1
netvope,Racket,1
netvope,Erlang,1
netvope,Elixir,1
PiggyHead,C++,354
PiggyHead,Python3,6
3R1C_,C++,1946
3R1C_,Java,2
3R1C_,Python,9
3R1C_,C,1
3R1C_,JavaScript,1
3R1C_,Python3,5
Jo3kerR,C++,249
Jo3kerR,Java,1
Jo3kerR,Python,11
Jo3kerR,Python3,16
algoboi,C++,1280
algoboi,Java,33
algoboi,MySQL,13
algoboi,C,2
algoboi,JavaScript,2
algoboi,Bash,1
algoboi,Go,45
algoboi,Python3,576
rdiess,Java,5
rdiess,Python3,2
satisho_jod,C++,69
satisho_jod,Python3,1
ppm2411,C++,2
ppm2411,Java,220
ppm2411,Python,5
ppm2411,Pandas,15
vodanh9710,Python,3
vodanh9710,MySQL,34
vodanh9710,Bash,4
vodanh9710,Go,1
vodanh9710,Python3,912
Tuyixiang,C++,43
Tuyixiang,Java,15
Tuyixiang,Python3,218
Tuyixiang,Rust,24
Tuyixiang,Pandas,1
tr1ten,C++,350
tr1ten,Java,448
tr1ten,Python,21
tr1ten,MySQL,9
tr1ten,C,5
tr1ten,JavaScript,19
tr1ten,Go,1
tr1ten,Python3,1659
tr1ten,Rust,1
tr1ten,PHP,5
rishabhv__333,C++,1409
rishabhv__333,Java,20
rishabhv__333,MySQL,6
rishabhv__333,Go,4
rishabhv__333,Python3,78
vkgames,C++,86
vkgames,Java,57
user7338k,C++,627
user7338k,Java,23
user7338k,Go,1
user7338k,Python3,9
ken_chan,C++,17
ken_chan,C,1
moririn2528,C++,282
Rocknite,C++,510
Rocknite,MySQL,26
Rocknite,Bash,3
Rocknite,Go,74
Rocknite,Python3,42
yolo12345,C++,123
__luffy__,C++,1215
__luffy__,MySQL,5
__luffy__,JavaScript,31
vuduyanhhoang33,C++,134
vuduyanhhoang33,Go,12
vuduyanhhoang33,Python3,16
yanoka23,Python3,1
miku_39,C++,129
Leminspector,C++,94
Leminspector,Java,21
Leminspector,MySQL,8
Leminspector,Bash,1
Leminspector,Python3,842
Leminspector,Rust,1
yz09,C++,302
yz09,Java,10
yz09,Python,1
yz09,C,1
yz09,Go,3
yz09,Python3,38
yz09,Rust,2
kachhuaa,C++,352
kachhuaa,C,1
kachhuaa,Python3,1
h0302097,C++,6
h0302097,C,1
ukmastercom,C++,831
ukmastercom,Java,44
ukmastercom,MySQL,5
ukmastercom,C,1
ukmastercom,JavaScript,2
ukmastercom,Bash,2
ukmastercom,Python3,4
ukmastercom,Oracle,21
ukmastercom,Pandas,1
Res1StAnce7,C++,13
Res1StAnce7,Java,561
Res1StAnce7,Python,16
Res1StAnce7,MySQL,7
Res1StAnce7,C,26
Res1StAnce7,JavaScript,1
Res1StAnce7,Go,2
Res1StAnce7,Python3,625
shadofren,C++,1
shadofren,Java,8
shadofren,Python,52
shadofren,MySQL,34
shadofren,Bash,4
shadofren,Go,854
shadofren,Python3,2445
shadofren,PostgreSQL,1
HW87,C++,24
HW87,Java,917
HW87,Python,2
HW87,Python3,2
xy-li,C++,17
xy-li,Java,32
xy-li,Python,341
xy-li,Python3,1805
xy-li,TypeScript,1
xy-li,Pandas,3
rangexero,C++,33
rangexero,Java,1
rangexero,Python,53
rangexero,C,2
rangexero,Python3,1061
flyman3046,C++,6
flyman3046,Java,1070
flyman3046,Python,51
flyman3046,Kotlin,16
gongjinchen,C++,1
tanmay_raj_29,C++,694
tanmay_raj_29,Java,5
tanmay_raj_29,Python,2
tanmay_raj_29,JavaScript,23
tanmay_raj_29,Go,3
tanmay_raj_29,Python3,134
AleksQ,C++,1329
AleksQ,Java,52
AleksQ,Python,12
AleksQ,MySQL,10
AleksQ,Python3,233
AleksQ,Rust,1
AleksQ,TypeScript,2
TianZai,C++,233
Laxman_Singh_Saini,C++,22
Laxman_Singh_Saini,Python,6
Laxman_Singh_Saini,MySQL,3
Laxman_Singh_Saini,Python3,1180
xinyster,C++,420
xinyster,Java,22
xinyster,MySQL,50
xinyster,C#,1
xinyster,Python3,3
xinyster,Oracle,1
midnight_walker,JavaScript,35
joelle22,C++,6
joelle22,C#,20
janar265,Java,1
janar265,TypeScript,1
asujamuto,Java,5
asujamuto,C#,3
asujamuto,Python3,10
asujamuto,Rust,1
wangqiannju,C++,123
wangqiannju,Java,26
all_too_well,C++,1077
all_too_well,Java,3
all_too_well,MySQL,2
all_too_well,JavaScript,1
all_too_well,Go,5
all_too_well,Python3,1
LeonDong1993,C++,76
LeonDong1993,MySQL,4
LeonDong1993,C,1
LeonDong1993,Python3,1443
LeonDong1993,Pandas,34
jakao,C++,522
jakao,Java,25
jakao,C,5
jakao,Python3,6
thallium,C++,182
thallium,Go,5
thallium,Rust,9
Guneet9,Java,2
Guneet9,Python,18
Guneet9,MySQL,2
Guneet9,Python3,4
wdb5u,Python3,1
AlexFilip,C++,26
AlexFilip,C,10
AlexFilip,Go,3
AlexFilip,Rust,2
nihillian,C++,20
nihillian,MySQL,5
bbfce,Java,102
bbfce,C#,3
zrts,C++,260
zrts,Python,4
zrts,Python3,60
d--,C++,14
d--,Java,1
d--,Python,15
d--,Python3,10
alkonaesc,C++,2
alkonaesc,MySQL,15
alkonaesc,C,2
alkonaesc,C#,1
alkonaesc,JavaScript,5
alkonaesc,Bash,2
alkonaesc,Python3,2242
alkonaesc,Pandas,7
adhishkancharla,C++,768
adhishkancharla,Java,2
adhishkancharla,C,2
adhishkancharla,Python3,19
adhishkancharla,Pandas,1
chubbyseal,C++,20
chubbyseal,Java,108
chubbyseal,Python3,72
Rishab01,C++,1454
Rishab01,Java,147
Rishab01,Python,2
Rishab01,MySQL,1
Rishab01,C#,1
Rishab01,Python3,6
mishaga,MySQL,2
mishaga,Python3,90
mishaga,PostgreSQL,21
Nis_Han,C++,182
Nis_Han,Java,3
Nis_Han,Python,1
Nis_Han,MySQL,1
Nis_Han,C,1
Nis_Han,Go,11
Nis_Han,TypeScript,6
Nis_Han,PostgreSQL,1
_chemthan,C++,71
_chemthan,Go,2
_chemthan,Python3,3
src0207,C++,1340
src0207,Java,124
src0207,MySQL,1
src0207,C,1
src0207,Python3,66
src0207,MS SQL Server,5
src0207,Pandas,3
ttzztztz,C++,1597
ttzztztz,Java,2
ttzztztz,MySQL,2
ttzztztz,JavaScript,29
ttzztztz,Python3,1
ttzztztz,Rust,1
retired_kid,C++,34
retired_kid,Java,336
retired_kid,Go,1
icoder178,C++,35
wh_springer,C++,5
wh_springer,Python,24
wh_springer,MySQL,2
SatBan,Python,1
SatBan,Python3,25
mk01,C++,34
mk01,Java,28
mk01,Python,5
mk01,Python3,50
Lucas595,C++,87
